"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-06","8.28",",,W","0.00","T,,W,2400",,,"0.0",",,W","0.0",",,W","41","H,,S","45",",,W","35",",,W",,,"  210",",,W","  200",",,W","15.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-07","11.86",",,W","0.00","T,,W,2400",,,"0.0",",,W","0.0",",,W","43","H,,S","48",",,W","38",",,W",,,"  210",",,W","  210",",,W","18.1",",,W","23.0",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-08","17.67",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","47","H,,S","56",",,W","34",",,W",,,"  240",",,W","  200",",,W","31.1",",,W","36.9",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-09","6.04",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","38","H,,S","41",",,W","26",",,W",,,"  290",",,W","  290",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-10","6.71",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","28","H,,S","36",",,W","20",",,W",,,"  240",",,W","  230",",,W","17.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-11","10.07",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","28","H,,S","37",",,W","23",",,W",,,"   30",",,W","   30",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-12","9.84",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","25","H,,S","33",",,W","18",",,W",,,"   20",",,W","   20",",,W","21.0",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-13","6.04",",,W","0.00",",,W,2400",,,"0.0",",,W","0.0",",,W","26","H,,S","39",",,W","19",",,W",,,"  150",",,W","  150",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-14","6.26",",,W","0.57",",,W,2400",,,"7.3",",,W","3.1",",,W","32","H,,S","33",",,W","22",",,W",,,"  230",",,W","  230",",,W","17.0",",,W","19.0",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-15","7.16",",,W","0.00",",,W,2400",,,"0.0",",,W","5.1",",,W","24","H,,S","32",",,W","11",",,W",,,"  240",",,W","  240",",,W","16.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-16","13.42",",,W","0.17",",,W,2400",,,"0.8",",,W","3.9",",,W","30","H,,S","38",",,W","26",",,W",,,"  220",",,W","  220",",,W","31.1",",,W","36.9",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W"
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-17","12.75",",,W","0.30",",,W,2400",,,"1.9",",,W","3.1",",,W","33","H,,S","41",",,W","30",",,W",,,"  240",",,W","  250",",,W","36.9",",,W","49.0",",,W","    1",",,W",,,,,,,"    1",",,W",,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-18","14.09",",,W","0.00","T,,W,2400",,,"0.2",",,W","3.1",",,W","29","H,,S","33",",,W","13",",,W",,,"   40",",,W","   40",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,,,
"USW00024157","SPOKANE INTERNATIONAL AIRPORT, WA US","47.6216","-117.528","717.2","2018-02-19","8.72",",,W","0.00",",,W,2400",,,"0.0",",,W","3.1",",,W","14","H,,S","20",",,W","6",",,W",,,"   30",",,W","   30",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,
